date,rainfall,max_temp,min_temp,rel_humidity,wind_speed,wind _direction
6/6/2007,2.5,31,24,84,0,0
6/7/2007,51.5,32,24,76,0,0
6/8/2007,10.7,28,23,90,0,0
6/9/2007,0,32,24,81,0,0
6/10/2007,0,31,22,91,0,0
6/11/2007,12.2,32,23,81,3,0
6/12/2007,42.69999999,34,21,86,0,0
6/13/2007,1.4,33,21,78,3,120
6/14/2007,5.799999999,34,22,79,7,0
6/15/2007,0,34,22,83,7,190
6/16/2007,0,34,24,89,0,180
6/17/2007,90.29999998,33,23,79,0,180
6/18/2007,0,30,23,88,0,0
6/19/2007,0,34,24,93,2,0
6/20/2007,12.9,34,23,91,0,0
6/21/2007,0,34,24,86,0,200
6/22/2007,0,33,24,80,0,0
6/23/2007,0,27,24,87,0,0
6/24/2007,0,31,23,82,0,0
6/25/2007,2.699999999,33,24,88,0,0
6/26/2007,0,33,24,81,0,0
6/27/2007,0,32,23,83,6,0
6/28/2007,27.7,31,23,82,0,0
6/29/2007,0.2,31,23,80,0,240
6/30/2007,0.5,31,23,84,6,0
7/1/2007,0,31,23,91,0,0
7/2/2007,43.89999999,31,23,82,6,230
7/3/2007,0,33,23,79,0,0
7/4/2007,0,33,22,84,6,190
7/5/2007,0,33,23,80,2,0
7/6/2007,27,29,23,88,4,230
7/7/2007,2.3,28,23,83,2,170
7/8/2007,0.2,32,22,85,0,180
7/9/2007,41.8,33,22,80,0,180
7/10/2007,0.6,32,23,88,8,0
7/11/2007,0,32,23,84,10,0
7/12/2007,0,32,22,81,8,150
7/13/2007,0,31,23,91,8,200
7/14/2007,0,31,23,84,0,180
7/15/2007,0,33,23,93,0,200
7/16/2007,1.1,32,24,91,0,0
7/17/2007,43.89999999,29,23,76,0,0
7/18/2007,20.3,30,23,83,0,0
7/19/2007,0,31,23,93,0,0
7/20/2007,0,32,24,91,0,0
7/21/2007,0,32,23,88,0,0
7/22/2007,8.799999997,31,22,89,5,0
7/23/2007,10.2,31,22,88,0,0
7/24/2007,4,32,24,88,0,160
7/25/2007,0,33,22,93,0,0
7/26/2007,0,26,23,88,0,0
7/27/2007,108.3,29,23,85,6,0
7/28/2007,101.6,28,24,85,4,0
7/29/2007,1.3,31,23,82,3,180
7/30/2007,0,32,23,82,5,180
7/31/2007,0,31,22,84,0,180
8/1/2007,0,29,23,85,9,200
8/2/2007,0,30,24,89,2,0
8/3/2007,0,32,23,90,10,170
8/4/2007,2.5,31,22,93,5,190
8/5/2007,1.6,31,20,92,0,180
8/6/2007,0,30,21,85,0,160
8/7/2007,0,33,22,86,5,0
8/8/2007,0,33,23,85,0,0
8/9/2007,4,32,23,85,0,250
8/10/2007,25,29,23,86,0,0
8/11/2007,4,32,22,84,0,0
8/12/2007,0.3,27,22,90,2,0
8/13/2007,0,30,23,92,0,0
8/14/2007,10.7,30,22,83,0,180
8/15/2007,10.6,32,23,79,0,0
8/16/2007,6.399999999,30,23,86,0,0
8/17/2007,5,32,23,83,3,0
8/18/2007,0,30,22,85,3,0
8/19/2007,0,30,23,87,4,180
8/20/2007,0,31,24,84,4,180
8/21/2007,8.099999998,31,24,79,2,190
8/22/2007,9.899999999,31,23,78,4,210
8/23/2007,0,29,24,83,4,200
8/24/2007,3.5,29,23,85,5,240
8/25/2007,0,29,23,83,0,180
8/26/2007,0.3,28,24,82,6,200
8/27/2007,3.899999999,30,23,88,0,0
8/28/2007,36.3,28,22,85,6,360
8/29/2007,0,27,22,86,0,0
8/30/2007,0,30,22,82,0,240
8/31/2007,2.199999999,30,23,86,5,0
9/1/2007,34.89999999,30,22.7,88,6,0
9/2/2007,18.8,29,23.1,85,3,230
9/3/2007,0,29,23,82,6,230
9/4/2007,0,29,23.2,94,4,230
9/5/2007,17.2,29,23.2,90,3,180
9/6/2007,9.199999999,30,23,90,2,160
9/7/2007,4,29,22.7,84,3,180
9/8/2007,0,31,22.7,93,0,170
9/9/2007,0.2,32,23,90,6,180
9/10/2007,1.6,31,23.4,94,0,0
9/11/2007,9.799999997,31,22.5,90,0,200
9/12/2007,0,32,22.8,85,7,0
9/13/2007,0,32,23.1,90,3,0
9/14/2007,16.8,29,23,89,0,180
9/15/2007,0,32,23.2,82,0,180
9/16/2007,31.3,31,22.6,88,0,0
9/17/2007,0,32,23,86,5,0
9/18/2007,0,29,22,85,0,0
9/19/2007,6.1,32,22.6,79,0,260
9/20/2007,0,28,23.2,85,0,0
9/21/2007,0,32,22.7,85,0,0
9/22/2007,0,32,23.2,89,0,0
9/23/2007,4.799999999,31,23.7,85,0,0
9/24/2007,6.399999999,26,23.1,82,0,0
9/25/2007,23.09999999,32,22.8,88,3,0
9/26/2007,0,33,23.6,91,0,0
9/27/2007,0,30,23.2,82,4,260
9/28/2007,7,32,22.6,89,4,0
9/29/2007,6,30,22.8,86,0,270
9/30/2007,0,32,22.6,87,4,180
10/1/2007,14,32,22,90,3,0
10/2/2007,24,32,24,87,2,210
10/3/2007,0,32,23,86,0,200
10/4/2007,13.6,33,22,82,0,200
10/5/2007,5.5,30,24,90,5,0
10/6/2007,0,31,23,88,5,0
10/7/2007,70.5,32,22,87,0,210
10/8/2007,0.8,33,23,80,6,200
10/9/2007,15.2,27,24,84,0,0
10/10/2007,0,30,21,83,0,240
10/11/2007,17.59999999,33,24,83,0,0
10/12/2007,0,32,21,93,6,0
10/13/2007,13.9,31,22,85,0,0
10/14/2007,0,32,22,88,7,230
10/15/2007,0,26,21,84,0,0
